service_name,service_prefix
AWS SimSpace Weaver,simspaceweaver
AWS Snow Device Management,snow-device-management
AWS Snowball,snowball
Amazon SNS,sns
AWS SQL Workbench,sqlworkbench
Amazon SQS,sqs
AWS Step Functions,states
AWS Storage Gateway,storagegateway
AWS Supply Chain,scn
AWS Support,support
AWS Support App in Slack,supportapp
AWS Support Plans,supportplans
AWS Support Recommendations,supportrecommendations
AWS Sustainability,sustainability
AWS Systems Manager,ssm
AWS Systems Manager for SAP,ssm-sap
AWS Systems Manager GUI Connect,ssm-guiconnect
AWS Systems Manager Incident Manager,ssm-incidents
AWS Systems Manager Incident Manager Contacts,ssm-contacts
AWS Systems Manager Quick Setup,ssm-quicksetup
Tag Editor,resource-explorer
AWS Tax Settings,tax
AWS Telco Network Builder,tnb
Amazon Textract,textract
Amazon Timestream,timestream
Amazon Timestream InfluxDB,timestream-influxdb
AWS Tiros,tiros
Amazon Transcribe,transcribe
AWS Transfer Family,transfer
Amazon Translate,translate
AWS Trusted Advisor,trustedadvisor
AWS User Notifications,notifications
AWS User Notifications Contacts,notifications-contacts
AWS User Subscriptions,user-subscriptions
AWS Verified Access,verified-access
Amazon Verified Permissions,verifiedpermissions
Amazon VPC Lattice,vpc-lattice
Amazon VPC Lattice Services,vpc-lattice-svcs
AWS WAF,waf
AWS WAF Regional,waf-regional
AWS WAF V2,wafv2
AWS Well-Architected Tool,wellarchitected
AWS Wickr,wickr
Amazon WorkDocs,workdocs
Amazon WorkLink,worklink
Amazon WorkMail,workmail
Amazon WorkMail Message Flow,workmailmessageflow
Amazon WorkSpaces,workspaces
Amazon WorkSpaces Application Manager,wam
Amazon WorkSpaces Secure Browser,workspaces-web
Amazon WorkSpaces Thin Client,thinclient
AWS X-Ray,xray
